"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X42" "X43" "X44" "X45" "X46" "X48" "X49" "X50" "X51" "X53" "X54" "X56" "X57" "X58" "X61" "X62" "X71" "X72" "X81" "X82" "X83" "X84" "X85" "X90" "X91" "X92" "X93" "X95" "X96" "X97" "X99" "X100" "X101" "X102" "X103" "X104" "X112" "X113" "X114" "X115" "X116" "X117" "X118" "X119" "X120" "X121" "X122" "X123" "X124" "X125" "X126" "X127" "X128" "X129" "X130" "X131" "X132" "X133" "X134" "X135" "X136" "X137" "X138" "X139" "X140" "X141" "X142" "X143" "X144" "X145" "X146" "X147" "X148" "X149" "X150" "X151" "X152" "X153" "X155" "X156" "X157" "X158" "X159" "X161" "X166" "X167" "X171" "X172" "X173" "X174" "X177" "X178" "X179" "X180" "X181" "X182" "X183" "X184" "X185"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__" 0.00633830075479001 0.00413744928937965 0.00455566452592616 0.0116315706558841 0.00706735309349012 0.00658969757038386 0.0089141514776517 0.00856491788679641 0.00582316107497015 0.0055227044516345 0.00812572359675829 0.0103488222422448 0.0096844171272145 0.00541076955792359 0.006156597266573 0.0094347593432281 0.00920700920700921 0.0225566024469132 0.0128124102269463 0.0062888218768525 0.0165204854018984 0.00740781387181738 0.0141572978666079 0.0116863121229713 0.012012012012012 0.0156716961877688 0.0134516162998842 0.0133037054138289 0.0116157157046684 0.00819470873488429 0.0112933025404157 0.00215244365662193 0.00700393609631859 0.00998801438274071 0.00616812547729542 0.00908450152713603 0.0112903225806452 0.00640630774916841 0.00840359595733988 0.00867868425943133 0.038382042449161 0.00619694397283531 0.0194872058899243 0.0202928814285332 0.0157456833566934 0.00980497022854494 0.00531738118976404 0.0119804045205413 0.00700120020574956 0.0167858706758138 0.0112567723100244 0.00605446349985331 0.00715872624043446 0.0110439871625448 0.0156199057470583 0.0123384528938003 0.0131019623828102 0.0158784695805826 0.0224807579952752 0.00594269986237958 0.0135164460427194 0.0113994664079554 0.00737871640628381 0.00909648678208446 0.00763843069583312 0.0171905424200278 0.0114544873099398 0.00685664134280464 0.00360499549375563 0.0062545322697607 0.0118767201408346 0.00951691062596793 0.0100103223947956 0.0113513370819144 0.0099141642098672 0.0132841728569105 0.011377891880853 0.0147897599151081 0.0126130461809942 0.00731009275542223 0.00865987686288049 0.0120927010880545 0.011790304625038 0.0076552513593437 0.0134084891963447 0.00670677076667093 0.00765869956309432 0.00847303620916814 0.0105098916627414 0.0115571776155718 0.017054963738278 0.0123269435569755 0.0104999727979979 0.00715214564369311 0.00653864400486789 0.0103395518704965 0.011483745643604 0.00895997876153182 0.0170868874956274 0.0119971771347918 0.0113852493660186 0.0179113881325803 0.00672229404160301 0.00553094752630716 0.0103834123375576 0.0158249556475458 0.0114545061594986 0.0124401913875598 0.0106554297063718 0.0106622516556291 0.0113020329138432 0.0138025572546146 0.0129224929526361 0.0146437550216417 0.0151260938024315 0.0135619686542132 0.00480793060718711 0.0132138254697928 0.00707190545979017 0.0108698319224635 0.00802864899208687 0.009769068470187 0.0264205768402927 0.011824872821734 0.0129589632829374 0.015177779569459 0.00924985296476501 0.00803068132094412 0.0145032851909044 0.010291774416843
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Bacteroides" 0 0 0 0 0 0.000187511719482468 2.09744740650628e-05 0.000183346866078211 9.74587627610068e-05 0.000223139573803414 0.000235838943441533 0.000205946711288454 0.000284076235731625 0.000212650331970796 0.00022991442074339 0.000309798067986594 0.000165000165000165 0.000421881591899873 0.000143636885952313 7.73215804531045e-05 0.000510633185149585 5.48726953467954e-05 0.000293923139099126 0.000201923319619375 5.66604340189246e-05 0.000291566440702675 0.000368537432873539 0.00014429181576821 0.000220726189162344 0.000184150758087287 0.000115473441108545 2.53228665484933e-05 0 0 0 0.000156629336674759 0.000172811059907834 9.23986694591598e-05 8.37567703389357e-05 0.000111503438022672 0.000288920991221247 5.65930956423316e-05 0.000257426762086186 0.000240944502449602 0.000268392329943638 0.00032088993475238 0.000120849572494637 0.000145510986079449 8.57289821112191e-05 0.000262735367099693 0.000112287005586279 2.66716453738031e-05 0 0.000125857403561765 0.000207475028898308 0.000117063120434538 0.000349385663541606 0.000368125260755393 0.000177813905047375 0 0.000155005115168801 0.000103946502200201 8.65538581382265e-05 5.33518286339264e-05 0.000126884230827793 0.000556328233657858 0.000174433816902637 8.22796961136557e-05 0 0 0.00032233269693288 7.49363041414797e-05 9.6022277168303e-05 0.000158390749980201 0.00018262934070808 0.000135552784254189 0.000233392653966216 6.63217933412919e-05 0.000320840602378231 0 2.8770355026181e-05 0.000173165170711997 0.00010120433154539 2.38481350758371e-05 0.000149457682124861 0 0.00015420200462606 0.000227159147698878 0.000176636834667923 0.000224100396977846 7.96960922349441e-05 5.3248136315229e-05 0.000326424024808226 0.000113077401481314 0.000103133186196654 0.000148060408646728 0.000228532251614009 0.000132740426096768 0.00021526787396066 2.71429346940991e-05 7.92476754015216e-05 0.000247519182736662 9.40180984839582e-05 9.37448733272399e-05 3.22466221663281e-05 0.000283855706682436 6.17493593503967e-05 8.97129186602871e-05 0.00013419936657899 0 2.42013552758955e-05 9.45380633877715e-05 0.000167462111697229 0.000285099655288599 0.000103249787047314 0.000289167775143138 2.47831474597274e-05 7.69363928372218e-05 4.6525693814409e-05 0.000269905533063428 0.000173280194073817 5.78051388768462e-05 0.000430477830391735 0.000162355233250352 7.53428097845196e-05 0.000141094896396033 0.00021386943271133 2.57393632081542e-05 0.000181669543101099 0.000235091293785753
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Clostridium" 0.00135475130636733 0.00126272802987561 0.00142364516435193 0.00325578952896077 0.00112712096749627 0.00372344700115186 0.00335591585041005 0.00251447130621546 0.00360597422215725 0.00242664286511213 0.00152223318039535 0.00229115716308405 0.00377046640152885 0.0021737589490348 0.000740835355728701 0.00129551919339848 0.00224400224400224 0.00388131064547884 0.00295891985061764 0.00064434650377587 0.00510633185149586 0.000877963125548727 0.00355157126411443 0.00111057825790656 0.00288968213496515 0.00134849478824987 0.00163209434558282 0.00199122705760129 0.00171062796600817 0.00242465164814929 0.00200923787528868 0.000430488731324386 0.000723547117388284 0.00101416761424752 0.00035246431298831 0.00073093690448221 0.00190092165898618 0.000615991129727732 0.000865486626835669 0.00135662516260918 0.00397821980220024 0.000650820599886814 0.00157030324872574 0.00366771075951061 0.00277338740941759 0.00270973722679788 0.000604247862473187 0.00104282873356938 0.00128593473166829 0.00216026857393081 0.000898296044690228 0.00106686581495212 0.000709701308318934 0.00248568372034485 0.000948457274963692 0.000561902978085784 0.00157223548593723 0.00245416840503595 0.00317524830441741 0.000688102089328162 0.00142604705955297 0.00155919753300301 0.00108192322672783 0.00082695334382586 0.000786682231132315 0.00119610570236439 0.000668662964793441 0.00167302048764433 0.000514999356250805 0.000725163161711385 0.00233071334705314 0.00104910825798072 0.000864200494514727 0.00182149362477231 0.00054788802212424 0.00200618120696199 0.00259649327537416 0.00756068444090728 0.000922416731837414 0.00124133650563774 0.00230162840209448 0.00170279084533464 0.0015433660560672 0.000882380997805972 0.000875394995302759 0.000972737744784334 0.00102801336417373 0.000749625187406297 0.00100094206311823 0.00112050198488923 0.00185957548548203 0.00303514376996805 0.00225776617159023 0.00124385141629445 0.00115509168540253 0.000937715921429277 0.00157115922984631 0.00103980000442468 0.00285229932997874 0.00184571955919874 0.00161136939983094 0.00513039760581445 0.000799153837113644 0.00124211957158593 0.00428880074812163 0.00515671200473093 0.000987989749606348 0.000807416267942584 0.000348918353105373 0.00119205298013245 0.00614714424007744 0.001654416109286 0.00259566273130704 0.00248814244615504 0.00462042797036731 0.00222659186860216 0.000272614622057001 0.000865534419418746 0.000209365622164841 0.000564347932768985 0.000606480679258361 0.00803491430388161 0.0120264743865691 0.00305769022621496 0.00153197046561856 0.000826412964605337 0.000294070469978078 0.00113253198115879 0.00136252157325824 0.00161951780163519
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Eubacterium" 0 0 0 0 3.04627288512505e-05 0 0 0 0 0 0 0 0 0 0.000102184186997062 0.00014081730363027 9.9000099000099e-05 0.00036563071297989 0.0002298190175237 7.73215804531045e-05 0.000210260723296888 0.00208516242317823 0.000391897518798834 0.000252404149524218 0.000453283472151397 0.000182229025439172 0.000368537432873539 0.000490592173611913 0.000248316962807637 0.000705911239334602 0.000184757505773672 5.06457330969866e-05 0.000810372771474878 0.0016595470051323 0.00196792574751806 0.000913671130602762 0.00149769585253456 0.00406554145620303 0.00309900050254062 0.00208139750975655 0.0018224247138571 0.00127334465195246 0.00396437213612727 0.00136535218054775 0.00128231890973071 0.000356544371947089 0.000151061965618297 0.000533540282291313 0.000342915928444876 0.00137206247263173 0.0015720180782079 0.00077347771584029 0.00141940261663787 0.000786608772261028 0.000385310767954 0.000632140850346507 0.000989926046701217 0.00125162588656834 0.00160032514542637 0.00212686100337796 0.00127104194438416 0.000277190672533869 0.000952092439520492 0.0010136847440446 0.000609044307973405 0.000695410292072323 0.000726807570427654 0.000548531307424371 0.000450624436719454 0.000543872371283539 0.00116535667352657 0.00109906579407504 0.000672155940178121 0.00110873524986141 0.0007826971744632 0.00181640730900613 0.00116696326983108 0.00182384931688553 0.00158415047424252 0.00189648632805765 0.00184130272167559 0.00369419030852261 0.00174577471915798 0.00515119717638081 0.00106755487232044 0.000972737744784334 0.000796710357234644 0.00254418245422743 0.00506358926048045 0.00160071712127033 0.00334723587386765 0.00135782747603834 0.00258419019639845 0.00375982359925369 0.00431096718302015 0.00202349225150528 0.00125692738387705 0.00101767660007522 0.00115706482253855 0.0029585798816568 0.00243026204564666 0.0020701604374339 0.000728640263250676 0.00145304553657222 0.000967398664989842 0.00153755174452986 0.000586618913828769 0.0027811004784689 0.000483117719684363 0.00121412803532009 0.00239593417231365 0.00255252771146983 0.0011722347818806 0.00108856232019283 0.00237474510208823 0.00364351396680354 0.000892193308550186 0.00125021638360485 0.00125619373298904 0.00125138019874862 0.00144400161728181 0.00170525159686696 0.00212548428755919 0.00284121658188116 0.00123059922648049 0.00118922841248085 0.00106934716355665 0.00108105325474248 0.00133224331607473 0.00117545646892877
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium" 2.41919876137023e-05 2.68665538271406e-05 3.16365592078206e-05 0 0.000304627288512505 0 0.0100257986031 0.041803085465832 0.0217333040957045 0.0207798728104429 0.0509626516873204 0.0139271463508817 0.0271421930685398 0.0288259338893746 0.0433771873802529 0.0265299800039429 0.0191730191730192 0.0288285754464914 0.0102556736569951 0.0237634990592541 0.0148383996155232 0.0491659350307287 0.00318416734024053 0.01855170499003 0.0186979432262451 0.0518623806399883 0.0410655996630515 0.0191330947708646 0.0221002096898797 0.00331471364557117 0.0165819861431871 0.0771840972398075 0.107924288029636 0.111189649343864 0.0937261352288081 0.104576187119848 0.033323732718894 0.0540840211900949 0.0459266290691831 0.0744471287864709 0.0189354372708079 0.0726089417091115 0.110358852906348 0.0420046582603807 0.0535591805087526 0.0119085820230328 0.0238677905676909 0.0324004462336906 0.0302051780305195 0.0395854619763538 0.0321702271004688 0.0498226335582642 0.0799185386324364 0.044647913913536 0.034292658347906 0.0687628769432478 0.0299598206486927 0.0218175571207696 0.0564686158457591 0.123138996622044 0.0520197166506495 0.0231800699906448 0.0463928679620894 0.0490570064288954 0.0419986804039994 0.0367732962447844 0.0812570863738117 0.0353528427635007 0.0415218230977211 0.0484348561759729 0.035059879497161 0.0289753709347055 0.0540365364764625 0.0622475647422191 0.097184899162514 0.0759637802960473 0.0220847798815532 0.013397002254941 0.068018207704185 0.0613427123202648 0.0518441797571782 0.104187711045052 0.110945248456634 0.0770771725651054 0.0608292766248185 0.107641110968898 0.0335389360061681 0.0549497978283586 0.104009656146962 0.031021897810219 0.0770926865552692 0.0230564430244941 0.0884881127250966 0.0852603607169107 0.0453373486520493 0.0749925969795677 0.0427355310518197 0.0615473109002013 0.0490003498102952 0.0762987894251126 0.0636887151310228 0.0703179496410972 0.0852509108003291 0.0698164944104619 0.125890812937345 0.0931046717918391 0.114575936274661 0.117464114832536 0.0728970959257072 0.114415011037528 0.0594143272023233 0.0476944529791307 0.0856568701331324 0.0826011455822512 0.0487338994863323 0.0705569371349257 0.147385377942999 0.0698197764997788 0.0790238909437737 0.145037418721629 0.0880552186218449 0.0441631261019105 0.0213624623331898 0.0401017426128369 0.0639409312371289 0.0890913488672095 0.041784740415976 0.036215284033873 0.0606170708814001 0.11997492359533
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira" 0 0 0 0 0 0.000562535158447403 0 0 4.87293813805034e-05 2.78924467254268e-05 2.14399039492303e-05 0 0 0 0.000102184186997062 0.000506942293068972 0.00188100188100188 0.00525945717901842 0.0043665613329503 0.0017010747699683 0.00898113660939565 0.0036490342405619 0.00871971979327406 0.00378606224286327 0.00589268513796816 0.0033894598731686 0.00544908918605876 0.00871522567239986 0.00604237942831917 0.00601559143085139 0.00602771362586605 0.000557103064066852 0.0035019680481593 0.00510157042318449 0.004170827703695 0.0073093690448221 0.00826612903225806 0.00354194899593446 0.00684013624434642 0.00459022486526668 0.0104011556839649 0.00481041312959819 0.00442774030788241 0.00985195298905041 0.00969194524796469 0.00677434306699469 0.00492462007915647 0.00361352282097298 0.00520089158141396 0.00837833892862356 0.00345282542177806 0.00413410503293948 0.00515304862996791 0.00582090491473161 0.00566110435993954 0.00653212212024724 0.00818144762126594 0.00863867278572656 0.00828104757792059 0.0048792693606906 0.00517717084663794 0.00623679013201206 0.00595057774700307 0.00445487769093286 0.00743541592650865 0.0118776077885953 0.00639590661976335 0.00499163489756178 0.00360499549375563 0.00326323422770123 0.00768639508070715 0.00387170904730979 0.00436901361115779 0.00733877141574932 0.00568759946776592 0.0092718104429865 0.00895644309595356 0.0137286112216474 0.00597565621929455 0.00620668252818868 0.00494850106450314 0.00707091113740656 0.00473130249974699 0.00529428598683583 0.0087966521479204 0.00478689363880712 0.0079414032382421 0.00504293307891509 0.00403320772491757 0.00733128441541811 0.00584438009722923 0.00657614483493078 0.00663728850443393 0.00768926330072935 0.00666240382830387 0.00547823511992893 0.00974118722504714 0.00621667662219862 0.00939106100153378 0.00713859182454807 0.00406804733727811 0.00913570801737135 0.00423081443177812 0.00501535072300734 0.0086098481184096 0.0098876404494382 0.00441507919355337 0.00589114832535885 0.00563637339631757 0.00593818984547461 0.00600193610842207 0.00465599962184775 0.00742415361857713 0.00741259103750356 0.00807929583645234 0.00636169105314904 0.0075092936802974 0.00752053239983843 0.00674622560308931 0.00539811066126856 0.0066135274071507 0.00624295499869938 0.014690055962118 0.00446476891438467 0.00567582500376714 0.00900991695557526 0.005106132705983 0.00573987799541839 0.011081842129167 0.00684376877465193
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus" 0 0 0.000189819355246923 0 0.000243701830810004 0.000187511719482468 0.000377540533171131 0.000366693732156421 0.00029237628828302 0.000808880955037376 0.000471677886883067 0.000411893422576908 0.000361551572749341 0.000378045034614748 0.00068974326223017 0.00028163460726054 0.000429000429000429 0.000421881591899873 0.000258546394714163 0.000231964741359313 0.00114141535504025 0.00288081650570676 0.00017145516447449 0.000302884979429062 0.00036829282112301 0.00032801224579051 0.000210592818784879 0.00075031744199469 0.00104844939852113 0.000306917930145479 0.000254041570438799 0.000531780197518359 0.000520953924519565 0.0144442054150404 0.00117488104329437 0.0108074242305584 0.00915898617511521 0.00329555254404337 0.00681221732090011 0.00345660657870284 0.00746749638848761 0.00897000565930956 0.0133861916284817 0.0115385645061976 0.0156263978767185 0.00406460584019681 0.00522674401039306 0.0118591453654751 0.00294336171915185 0.00513793606772734 0.00367739943295062 0.0209372416184354 0.0118489261910639 0.0222452960795419 0.00915854056136815 0.0177935943060498 0.0132475397426192 0.00719071342675534 0.00759519394416643 0.00731890404103591 0.00694422915956227 0.0112955199057552 0.00188254641450643 0.0157121135326913 0.00829822869613764 0.0058970792767733 0.00895426926766869 0.00433339732865253 0.000321874597656753 0.000181290790427846 0.000545486102501798 0.000374681520707399 0.000912211633098879 0.00126712599984161 0.0011740457616948 0.000460879466464241 0.000437611226186656 0.000464252553389044 0.000661733742405101 0.000551705113616772 0.000748029230680707 0.00155848653640798 0.00118915089565833 0.00109701421348851 0.00104620377487403 0.000691155766030974 0.00046260601387818 0.00061332969878697 0.00147197362223269 0.00121654501216545 0.00175331402916877 0.000425985090521832 0.00076165605788586 0.000395770905184599 0.000742558940615911 0.000987069390978186 0.000571330629035023 0.000641578726134378 0.000780346043107392 0.00092285977959937 0.000898140321217244 9.00069755406044e-05 0.00141027147725937 0.0025779840164991 0.00067717906549289 0.000567711413364873 0.000740992312204761 0.000986842105263158 0.000456277846368565 0.000971302428256071 0.000992255566311713 0.000567228380326629 0.000921041614334757 0.00108856232019283 0.000412999148189257 0.000867503325429414 0.000421313506815366 0.00132715277644208 0.000511782631958499 0.00125138019874862 0.000837520938023451 0.000953784791467962 0.00137214808437365 0.000974131399502111 0.000502285398563464 0.00137063613641861 0.00101587980537882 0.000360351084914159 0.000575286886486814 0.000417940077841339
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__" 0 0 0 0 0 0 4.19489481301256e-05 2.61924094397444e-05 0 0 0 7.72300167331703e-05 0 0 0 0 0 0 0 0 0 0.000246927129060579 0 0 0 0 0 0 0 0 0 2.53228665484933e-05 0.000318360731650845 0.000245858815575156 5.87440521647183e-05 0.000495992899470071 0.000604838709677419 0.000215596895404706 0.000335027081355743 0.000334510314068017 0.000177797533059229 8.48896434634975e-05 0.000128713381043093 0.000562203839049072 0.0007157128798497 0.000249581060362962 0 0.000727554930397245 0.000428644910556095 0.000204349729966428 0.000140358756982848 0.000106686581495212 0.000308565786225623 0.00056635831602794 0.000622425086694923 0.000632140850346507 0.000494963023350609 0.000196333472402876 0.00066045164731882 6.25547353934693e-05 0.000186006138202561 0.000970167353868542 0.000151469251741896 5.33518286339264e-05 0.000482160077145612 0.000139082058414465 0.000290723028171061 0.00019198595759853 0.000225312218359727 0.000846023688663283 0.000495896456819816 0.000874256881650597 0.000192044554336606 0.000184789208310235 0.00054788802212424 0.000433768909613403 0.000233392653966216 0.000298448070035814 0.000300788064729592 0.00155167063204717 5.7540710052362e-05 0.000144304308926665 7.59032486590426e-05 0.000214633215682534 0.000128106584678452 0.000255983617048509 0.000102801336417373 0.000454318295397756 0.000206076307112577 0.000768344218209758 0.000185957548548203 0.000133120340788072 0.000217616016538817 0.000310962854073613 0.00024751964687197 0.000345474286842365 0.00051419756613152 0.000353974469591381 0.00010763393698033 5.42858693881983e-05 0.000369822485207101 9.00069755406044e-05 0.000188036196967916 0.00018748974665448 0.000193479732997968 0.000378474275576582 0.000463120195127976 0.000119617224880383 0.0026303075849482 0.000264900662251656 7.26040658276863e-05 0.0001654416109286 8.37310558486143e-05 0.000388772257211725 5.16248935236571e-05 0.000260250997628824 0 0.000442384258814025 0.000116314234536023 0.000122684333210649 0.00023104025876509 0.000115610277753692 0.000107619457597934 0.000216473644333802 0.000502285398563464 0.000382971861646376 0.000534673581778324 0.000514787264163085 0.000393617343385715 0.000156727529190502
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Phascolarctobacterium" 0.00031449583897813 0.0220037075844281 0.0313518301749502 0.0231056031087539 0.0357327809425168 0.0297875760092149 0.0542819388803826 0.0502632337148694 0.0492166751943084 0.045297333482093 0.0355259208438746 0.0399536619899601 0.0282526728991271 0.0185478345107861 0.0365053008047005 0.0396541527022841 0.0556380556380556 0.0344255378990297 0.0307382935937949 0.0348720327843501 0.0320497416796828 0.0304543459174715 0.0236608126974796 0.0301370554531917 0.0180463482350275 0.0185509147897077 0.0243761187743498 0.0158143830081958 0.02919103851672 0.0313977042538825 0.04 0.0371992909597366 0.0381164621440148 0.0706536771259104 0.0233507607354755 0.0437256898217036 0.0413018433179723 0.0393926327460885 0.0390306549779441 0.0447314625534287 0.0708967663073675 0.0205715902659875 0.0132832209236472 0.0404786764115332 0.0402588494915456 0.0370449602453025 0.0330523580772833 0.0331765048261144 0.0411213350860147 0.0314114727776967 0.0208853830390478 0.0404608860320593 0.0185756603307825 0.0540872191806683 0.0335813153916832 0.0567053755384904 0.0426250509520759 0.0470464083245392 0.0498132953997003 0.0187038658826473 0.0421613913259138 0.04137070787568 0.0295581425542044 0.0472697201696588 0.030579099629498 0.0312934631432545 0.033404075936855 0.0148377718658292 0.0172846658941676 0.028311578438482 0.0371922342614862 0.0528051156516961 0.0303430395851838 0.0155750904147198 0.0193587101150565 0.0157241229734859 0.0226974355982145 0.00842286775434408 0.0356534119392809 0.0844453639529671 0.00791184763219978 0.0321221391670755 0.0259336099585062 0.0238481350758371 0.0237851225552993 0.0182260335338538 0.0165767154973015 0.0203988914633592 0.0257889778615167 0.0302535535920092 0.02380256621417 0.0257188498402556 0.0118056688972308 0.0325380222762481 0.0290216785957385 0.0378047576744645 0.0444495229389248 0.0319240724762727 0.0281193660361112 0.0138971825633788 0.0170382502113271 0.0138610742332531 0.0160770948407568 0.0206707445686564 0.0201218922317887 0.0218095801301005 0.0151903424001976 0.0138755980861244 0.0266788340759032 0.0283002207505519 0.0219506292352372 0.0346718347474652 0.0214630606491948 0.0193608584091439 0.0196948968792752 0.012896882771384 0.0382651796778191 0.0298705545190514 0.0261241770767907 0.0165623849834376 0.0204759429330561 0.033064539437556 0.0122148084373655 0.0212685355557961 0.0260686121854438 0.0266669354188503 0.015960006416083 0.0332295179017271 0.0287643443243407 0.0163257842906773
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella" 2.41919876137023e-05 0 9.49096776234617e-05 0 0 0 0 0.000130962047198722 7.30940720707551e-05 5.57848934508535e-05 0.000128639423695382 5.14866778221135e-05 0.000413201797427819 9.45112586536871e-05 0.000153276280495593 2.8163460726054e-05 9.9000099000099e-05 2.81254394599916e-05 2.87273771904625e-05 0.000231964741359313 3.00372461852697e-05 0.000109745390693591 0 0.000176682904666953 5.66604340189246e-05 7.28916101756688e-05 0 2.88583631536419e-05 0.000110363094581172 0 2.3094688221709e-05 0.00197518359078248 0.00399398008798333 0.000768308798672362 0 0.000104419557783173 0 3.07995564863866e-05 2.79189234463119e-05 0 0 8.48896434634975e-05 0.000514853524172373 8.03148341498675e-05 0.000208749589956163 3.56544371947089e-05 0.000302123931236593 0.000121259155066207 0.000200034291592844 2.91928185666326e-05 0.000168430508379418 0.00042674632598085 0.00151197235250555 0.000125857403561765 8.89178695278461e-05 0.000140475744521446 0 4.90833681007191e-05 5.08039728706785e-05 0.000719379457024897 3.10010230337601e-05 0.000138595336266935 0.00025966157441468 0.000266759143169632 0 0 0.000232578422536849 2.74265653712186e-05 3.21874597656753e-05 6.04302634759488e-05 7.43844685229724e-05 0.00119898086626368 7.20167078762273e-05 2.63984583300335e-05 5.217981163088e-05 2.71105568508377e-05 0 0 0.000501313441215986 3.44815696010482e-05 0 0 5.06021657726951e-05 0.000310025755985882 6.40532923392262e-05 0.000102393446819404 0 0.000295306892008541 0.000412152614225153 3.20143424254066e-05 0 2.66240681576145e-05 0 8.48080511109855e-05 0 9.87069390978186e-05 2.85665314517511e-05 2.21234043494613e-05 5.3816968490165e-05 8.14288040822974e-05 7.92476754015216e-05 0 0 0.000867140078276969 0.000515945954661249 0.000212891780011827 3.08746796751984e-05 0 5.36797466315959e-05 0.000640176600441501 0 0 0 0 2.58124467618286e-05 8.67503325429414e-05 0.000123915737298637 0 0.000162839928350432 9.81474665685192e-05 8.66400970369087e-05 0 0 2.70592055417253e-05 0 6.04692413125857e-05 0.000106934716355665 2.57393632081542e-05 0 0.000182848784055586
"k__Bacteria;p__Fusobacteria;c__Fusobacteria (class);o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium" 0 0 3.16365592078206e-05 0 0 0 0 0 2.43646906902517e-05 0 4.28798078984606e-05 0 2.58251123392387e-05 0.00233915365167876 0.000817473495976498 0.000309798067986594 0 0.000393756152439882 0.0013789141051422 7.73215804531045e-05 0 0.0252688762071993 0.000244935949249271 0.000201923319619375 0.000594934557198708 0.000145783220351338 2.63241023481099e-05 0 0.000386270831034102 0.00015345896507274 2.3094688221709e-05 5.06457330969866e-05 0.000115767538782125 0.000676111742831679 2.93720260823592e-05 0 0 0.000307995564863866 5.58378468926238e-05 9.29195316855603e-05 0 0 0.000154456057251712 2.67716113832892e-05 0.00101392657978708 0.000249581060362962 0.000181274358741956 0.000412281127225105 8.57289821112191e-05 2.91928185666326e-05 0.00126322881284563 2.66716453738031e-05 0 0 0 0 0 2.45416840503595e-05 0 6.25547353934693e-05 0 3.46488340667337e-05 0 0 0 0.000111265646731572 0 0.00109706261484874 0 3.02151317379744e-05 0 0 0 5.27969166600671e-05 2.608990581544e-05 0 0 0.0033160896670646 0.000120315225891837 0 0.000805569940733069 2.88608617853329e-05 0.00113854872988564 0.00202709148144615 0.000277564266803314 0 0 0 8.83184173339614e-05 3.20143424254066e-05 0.000504741917487979 2.66240681576145e-05 8.16060062020565e-05 0 0.00391906107547287 0 2.85665314517511e-05 0 0 0.00279572227349221 2.64158918005072e-05 0.000157512207196058 0.00282054295451874 2.343621833181e-05 3.22466221663281e-05 0.00132465996451804 9.26240390255951e-05 0.000149521531100478 0 0 0.000968054211035818 0 0 2.59181504807817e-05 5.16248935236571e-05 8.67503325429414e-05 2.47831474597274e-05 0 0 0 0.00127072142320799 2.89025694384231e-05 0.000188334050796384 0.000297651260958978 0 0.000100782068854309 0 0 3.02782571835165e-05 2.61212548650837e-05
